                 Q-tabell                       State Space
        Q1        Q2        Q3		   k1   k2   k3   k4   k5   k6
      0.00      0.00      0.00		    1    0    3    1    1    2
      0.00      0.00      0.00		    0    1    0    3    1    1
      3.00      0.00      0.00		    0    0    1    0    3    1
      1.00      4.00      0.00		    0    0    0    1    0    3
      1.00      1.00      5.00		    0    0    0    0    1    1
      0.00      0.00      0.00		    0    0    0    0    0    1
      1.00      0.00      0.00		    0    1    0    0    0    0
      1.00      1.00      0.00		    0    0    2    0    0    0
      0.00      1.00      1.00		    0    0    0    3    0    0
      0.00      0.00      1.00		    1    0    0    0    4    0
      0.00      0.00      0.00		    1    1    0    0    0    5
      0.00      0.00      0.00		    0    1    1    0    0    1
      0.00      0.00      0.00		    0    0    1    1    0    0
      1.00      1.00      0.00		    0    0    0    1    1    0
      0.00      1.00      2.00		    0    0    0    0    1    1
      0.00      0.00      1.00		    3    0    0    0    0    1
      1.00      0.00      0.00		    1    4    0    0    0    0
      1.00      1.00      0.00		    0    1    5    0    0    0
      0.00      1.00      1.00		    0    1    0    0    0    0
      0.00      0.00      1.00		    1    0    1    0    1    0
      0.00      0.00      0.00		    1    1    0    1    0    2
      0.00      0.00      0.00		    0    1    1    0    1    0
      3.00      0.00      0.00		    0    0    1    1    0    1
      0.00      4.00      0.00		    0    0    0    1    1    0
      1.00      0.00      5.00		    0    0    0    0    1    1
      0.00      1.00      1.00		    0    0    0    0    0    1
      1.00      0.00      1.00		    1    1    0    0    0    0
      1.00      1.00      0.00		    1    1    2    0    0    0
      0.00      1.00      1.00		    0    1    1    3    0    0
      0.00      0.00      1.00		    1    0    1    1    4    0
      0.00      0.00      0.00		    1    1    0    1    1    5
      0.00      0.00      0.00		    0    1    1    1    0    0
      0.00     -0.21     -0.57		   -1    0    1    1    1    0
      0.00      1.00      2.43		   -1   -2    0    1    1    1
      0.00      0.00      2.00		    0   -0   -1    0    1    1
      1.00      0.00      0.00		    3    3   -0   -0    0    1
      1.00      1.00      0.00		    0    4    0    0    0    0
      1.00      1.00      1.00		    0    0    5    0    0    0
      0.00      1.00      1.00		    1    0    1    0    0    0
      0.00      0.00      1.00		    1    1    0    1    1    0
      0.00      0.00      0.00		    1    1    1    0    1    2
      0.00      0.00      0.00		    0    1    1    1    0    1
      3.00      0.00      0.00		    0    0    1    1    1    0
      1.00      4.00      0.00		    0    0    0    1    1    1
      0.00      1.00      5.00		    0    0    0    0    1    1
      1.00      1.00      0.00		    0    0    0    0    0    1
      1.00      1.00      1.00		    0    1    0    0    0    0
      1.00      1.00      1.00		    1    0    2    0    0    0
      0.00      1.00      1.00		    1    1    0    3    0    0
      0.00      0.00      1.00		    1    1    1    0    4    0
      0.00      0.00      0.00		    1    1    1    1    0    5
      0.00      0.00      0.00		    0    1    1    1    1    1
      0.00      0.00      0.00		    0    0    1    1    1    1
      1.00      1.00      0.00		    0    0    0    1    1    1
      1.00      1.00      2.00		    0    0    0    0    1    1
      1.00      1.00      1.00		    3    0    0    0    0    1
      1.00      1.00      1.00		    1    4    0    0    0    0
      1.00      1.00      1.00		    1    1    5    0    0    0
      0.00      1.00      1.00		    2    0    0    0    0    0
      0.00      0.00      1.00		    1    2    0    0    1    0
      0.00      0.00      0.00		    1    1    2    0    0    2
      0.00      0.00      0.00		    0    1    1    2    0    0
      3.00      0.00      0.00		    0    0    1    1    2    0
      0.00      4.00      0.00		    0    0    0    1    1    2
      0.00      0.00      5.00		    0    0    0    0    1    1
      2.00      0.00      1.00		    0    0    0    0    0    1
      1.00      2.00      0.00		    1    1    0    0    0    0
      1.00      1.00      2.00		    0    1    2    0    0    0
      0.00      1.00      1.00		    2    0    1    3    0    0
      0.00      0.00      1.00		    1    2    0    1    4    0
      0.00      0.00      0.00		    1    1    2    0    1    5
      0.00      0.00      0.00		    0    1    1    2    1    0
      0.00      0.00      0.00		    0    0    1    1    2    1
      0.00      1.00      0.00		    0    0    0    1    1    2
      1.00      0.00      2.00		    0    0    0    0    1    1
      2.00      1.00      0.00		    3    0    0    0    0    1
      1.00      2.00      1.00		    0    4    0    0    0    0
      1.00      1.00      2.00		    1    0    5    0    0    0
      0.00      1.00      1.00		    2    1    1    0    0    0
      0.00      0.00      1.00		    1    2    1    1    1    0
      0.00      0.00      0.00		    1    1    2    1    1    2
      0.00      0.00      0.00		    0    1    1    2    1    1
      3.00      0.00      0.00		    0    0    1    1    2    1
      1.00      4.00      0.00		    0    0    0    1    1    2
      1.00      1.00      5.00		    0    0    0    0    1    1
      3.00      0.00      0.00		    0    0    0    0    0    1
      1.00      3.00      0.00		    0    1    0    0    0    0
      1.00      1.00      3.00		    0    0    2    0    0    0
      0.00      1.00      1.00		    3    0    0    3    0    0
      0.00      0.00      1.00		    1    3    0    0    4    0
      0.00      0.00      0.00		    1    1    3    0    0    5
      0.00      0.00      0.00		    0    1    1    3    0    1
      0.00      0.00      0.00		    0    0    1    1    3    0
      1.00      1.00      0.00		    0    0    0    1    1    3
      0.00      1.00      2.00		    0    0    0    0    1    1
      3.00      0.00      1.00		    3    0    0    0    0    1
      1.00      3.00      0.00		    1    4    0    0    0    0
      1.00      1.00      3.00		    0    1    5    0    0    0
      0.00      1.00      1.00		    3    1    0    0    0    0
      0.00      0.00      1.00		    1    3    1    0    1    0
      0.00      0.00      0.00		    1    1    3    1    0    2
      0.00      0.00      0.00		    0    1    1    3    1    0
      3.00      0.00      0.00		    0    0    1    1    3    1
      0.00      4.00      0.00		    0    0    0    1    1    3
      1.00      0.00      5.00		    0    0    0    0    1    1
      3.00      1.00      1.00		    0    0    0    0    0    1
      1.00      3.00      1.00		    1    1    0    0    0    0
      1.00      1.00      3.00		    1    1    2    0    0    0
      0.00      1.00      1.00		    3    1    1    3    0    0
      0.00      0.00      1.00		    1    3    1    1    4    0
      0.00      0.00      0.00		    1    1    3    1    1    5
     -0.14     -0.38     -0.22		    0    1    2    0    0    0
      0.00      0.00      0.77		    0    0    1    2    0    0
      0.00      1.00      0.00		    0   -0    0    1    2    0
      0.00      0.00      2.00		   -2   -0   -1    0    1    2
      0.00      0.00      0.00		    3   -0    3   -0    0    1
      2.00      0.00      0.00		    0    4    0    0    0    0
      1.00      2.00      0.00		    0    0    5    0    0    0
      0.00      1.00      2.00		    0    0    1    0    0    0
      0.00      0.00      1.00		    2    0    0    1    1    0
      0.00      0.00      0.00		    1    2    0    0    1    2
      0.00      0.00      0.00		    0    1    2    0    0    1
      3.00      0.00      0.00		    0    0    1    2    0    0
      1.00      4.00      0.00		    0    0    0    1    2    0
      0.00      1.00      5.00		    0    0    0    0    1    2
      0.00      1.00      0.00		    0    0    0    0    0    1
      2.00      0.00      1.00		    0    1    0    0    0    0
      1.00      2.00      0.00		    1    0    2    0    0    0
      0.00      1.00      2.00		    0    1    0    3    0    0
      0.00      0.00      1.00		    2    0    1    0    4    0
      0.00      0.00      0.00		    1    2    0    1    0    5
      0.00      0.00      0.00		    0    1    2    0    1    1
      0.00      0.00      0.00		    0    0    1    2    0    1
      1.00      1.00      0.00		    0    0    0    1    2    0
      1.00      1.00      2.00		    0    0    0    0    1    2
      0.00      1.00      1.00		    3    0    0    0    0    1
      2.00      0.00      1.00		    1    4    0    0    0    0
      1.00      2.00      0.00		    1    1    5    0    0    0
      0.00      1.00      2.00		    1    0    0    0    0    0
      0.00      0.00      1.00		    2    1    0    0    1    0
      0.00      0.00      0.00		    1    2    1    0    0    2
      0.00      0.00      0.00		    0    1    2    1    0    0
      3.00      0.00      0.00		    0    0    1    2    1    0
      0.00      4.00      0.00		    0    0    0    1    2    1
      0.00      0.00      5.00		    0    0    0    0    1    2
      1.00      0.00      1.00		    0    0    0    0    0    1
      2.00      1.00      0.00		    1    1    0    0    0    0
      1.00      2.00      1.00		    0    1    2    0    0    0
      0.00      1.00      2.00		    1    0    1    3    0    0
      0.00      0.00      1.00		    2    1    0    1    4    0
      0.00      0.00      0.00		    1    2    1    0    1    5
      0.00      0.00      0.00		    0    1    2    1    1    0
      0.00      0.00      0.00		    0    0    1    2    1    1
      0.00      1.00      0.00		    0    0    0    1    2    1
      1.00      0.00      2.00		    0    0    0    0    1    2
      1.00      1.00      0.00		    3    0    0    0    0    1
      2.00      1.00      1.00		    0    4    0    0    0    0
      1.00      2.00      1.00		    1    0    5    0    0    0
      0.00      1.00      2.00		    1    1    1    0    0    0
      0.00      0.00      1.00		    2    1    1    1    1    0
      0.00      0.00      0.00		    1    2    1    1    1    2
      0.00      0.00      0.00		    0    1    2    1    1    1
      3.00      0.00      0.00		    0    0    1    2    1    1
      1.00      4.00      0.00		    0    0    0    1    2    1
      1.00      1.00      5.00		  -31  -10  -31    0    1    2
      2.00      0.00      0.00		    0  -23   50  -26    0    1
      2.00      2.00      0.00		    0    1   -5   16   -9    0
      1.00      2.00      2.00		    0    0    2  -25    7   -5
      0.00      1.00      2.00		    2    0    0    3   -4    9
    -23.06      0.00      1.00		    2    2    0    0    4  -17
    -15.19    -33.55      0.00		    1    2    2    0    0    5
     -6.03      0.00      0.00		    0    1    2    2    0    1
      0.00      0.00      0.00		    0    0    1    2    2    0
      1.00      1.00      0.00		    0    0    0    1    2    2
      0.00      1.00      2.00		    0    0    0    0    1    2
      2.00      0.00      1.00		    3   -1   -0   -3    0    1
      2.00      2.00      0.00		    1    4    0    0    0    0
      1.00      2.00      2.00		    0    1    5   -0   -0   -0
      0.00      1.00      2.00		    2    1    0    0   -3   -3
     -2.22      0.00      1.00		    2    2    1    0    1  -10
      0.86      0.26      0.00		    1    2    2    1    0    2
      1.35     -0.51     -0.16		    0    1    2    2    1    0
      3.00      0.00      0.11		    1    0    1    2    2    1
      0.00      4.00     -0.65		   -0  -50    0    1    2    2
      1.00      0.00      5.00		    0    0    0    0    1    2
